,retweet_count,favorite_count
10,482,1511
11,49,0
12,99,0
13,197,0
14,237,0
15,87,0
16,5482,11458
17,3119,7682
18,84,356
19,7332,18451
20,3620,7878
21,89566,110842
22,3901,11395
23,76,0
24,106,389
25,854,6469
26,70,0
27,243,0
28,1531,0
29,592,0
30,7824,18652
31,509,0
32,239,0
33,50,0
34,65,0
35,227,0
36,395,0
37,751,0
38,56,0
39,96316,116382
40,22668,26974
41,4293,18802
42,4433,11847
43,136,465
44,193,675
45,2610,4987
46,17948,42839
47,7927,17395
48,72287,92424
49,8424,0
50,6534,0
51,104,0
52,19619,33027
53,256,0
54,542,1611
55,54388,61906
56,4258,14659
57,30688,56544
58,487,1892
59,285,0
60,914,4542
61,481,1855
62,43349,51336
63,3695,9056
64,761,4497
65,378,1872
66,96,0
67,24,0
68,20,0
69,15,0
70,15,0
71,12,0
72,12,0
73,22,0
74,15,0
75,13,0
76,17,0
77,15,0
78,11,0
79,12,0
80,10,0
81,15,0
82,11,0
83,34,0
84,10,0
85,12,0
86,30,0
87,10,0
88,288,0
89,46,0
90,20,0
91,11,0
92,11,0
93,196,1350
94,64283,85316
95,24781,35909
96,1150,4137
97,19889,31460
98,35244,59763
99,13030,34073
100,39650,61070
101,874,4101
102,1055,2813
103,107,669
104,171,1011
105,340,0
106,274,0
107,113,860
108,361,1114
109,1382,4358
110,32,0
111,39,0
112,58,0
113,49,0
114,145,0
115,242,0
116,104,0
117,80,0
118,79,0
119,28,0
120,4767,9556
121,14295,37238
122,1581,2852
123,118,0
124,128,0
125,106,0
126,79,0
127,168,0
128,529,0
129,1880,3717
130,354,1147
131,22114,29368
132,188,0
133,481,2149
134,88484,125458
135,6741,0
136,259,0
137,413,1142
138,450,1993
139,260,0
140,326,0
141,1302,3272
142,3324,8805
143,865,2471
144,9963,20798
145,959,0
146,1135,3510
147,168,750
148,6003,10175
149,224,1012
150,43,0
151,2912,8679
152,944,0
153,423,0
154,7415,21861
155,340,1835
156,43507,47597
157,16791,30780
158,144512,161177
159,941,4280
160,953,4265
161,1282,5164
162,36692,59506
163,198,0
164,107,426
165,58,0
166,157,0
167,22779,53671
168,96170,113884
169,88,0
170,376,0
171,171,0
172,50,0
173,2629,10387
174,215,0
175,6915,17186
176,17904,30096
177,1033,0
178,556,0
179,454,1663
180,150094,295231
181,54550,65544
182,15846,22706
183,61297,64043
184,1035,2088
185,29349,54284
186,10545,19843
187,89,0
188,6491,0
189,5438,0
190,11014,40828
191,192,0
192,244,1752
193,92,0
194,82,0
195,5002,0
196,195,688
197,198,0
198,119,0
199,85,0
0,1286,6156
1,1379,6223
2,27894,38887
3,115968,111823
4,285,0
5,337,1313
6,69,0
7,54,0
8,430,1100
9,892,2332
10,3839,12678
11,24608,27602
12,4432,0
13,1959,3822
14,1045,4924
15,1190,5084
16,3868,12030
17,7459,15635
18,132,0
19,1115,2274
20,1776,3716
21,798,1625
22,290,0
23,1999,4858
24,1023,0
25,8008,12161
26,76535,85236
27,31664,32177
28,1229,5748
29,30306,38045
30,30978,43435
31,530,0
32,1915,4483
33,28012,35284
34,254,0
35,2651,9046
36,2624,9220
37,27921,44337
38,332,0
39,135,0
40,99,0
41,88,402
42,644,1717
43,87,291
44,246,1097
45,2862,14396
46,4963,11890
47,97176,108841
48,285,0
49,1585,3794
50,271,0
51,73,0
52,56,0
53,56,0
54,70,0
55,1289,2617
56,2925,9781
57,8773,21803
58,4229,11051
59,19266,21654
60,15771,22329
61,32694,34745
62,38,0
63,1561,0
64,6442,17090
65,11852,28748
66,43,83
67,12507,0
68,1359,3245
69,725,1871
70,140392,198211
71,6569,8902
72,225,1018
73,8877,21002
74,7463,25872
75,2175,9098
76,301,2151
77,610,3299
